iter	Passed	Remaining
805	11472	2761
806	11484	2746
807	11496	2731
808	11508	2717
809	11521	2702
810	11534	2687
811	11546	2673
812	11560	2659
813	11586	2647
814	11600	2633
815	11615	2619
816	11628	2604
817	11641	2590
818	11653	2575
819	11681	2564
820	11695	2550
821	11708	2535
822	11720	2520
823	11733	2506
824	11746	2491
825	11758	2476
826	11771	2462
827	11784	2447
828	11797	2433
829	11808	2418
830	11822	2404
831	11835	2389
832	11847	2375
833	11859	2360
834	11873	2346
835	11887	2332
836	11902	2317
837	11915	2303
838	11927	2288
839	11939	2274
840	11951	2259
841	11963	2244
842	11975	2230
843	11987	2215
844	11999	2201
845	12011	2186
846	12023	2171
847	12034	2157
848	12047	2142
849	12059	2128
850	12073	2113
851	12085	2099
852	12106	2086
853	12119	2071
854	12132	2057
855	12146	2043
856	12170	2030
857	12186	2016
858	12202	2002
859	12217	1988
860	12230	1974
861	12245	1960
862	12262	1946
863	12280	1933
864	12293	1918
865	12307	1904
866	12321	1890
867	12333	1875
868	12346	1861
869	12359	1846
870	12371	1832
871	12384	1817
872	12398	1803
873	12409	1789
874	12421	1774
875	12435	1760
876	12449	1746
877	12461	1731
878	12474	1717
879	12525	1707
880	12542	1694
881	12555	1679
882	12569	1665
883	12581	1650
884	12594	1636
885	12606	1622
886	12618	1607
887	12630	1593
888	12642	1578
889	12657	1564
890	12670	1550
891	12683	1535
892	12696	1521
893	12709	1506
894	12722	1492
895	12734	1478
896	12747	1463
897	12759	1449
898	12772	1435
899	12785	1420
900	12797	1406
901	12811	1391
902	12824	1377
903	12837	1363
904	12849	1348
905	12861	1334
906	12876	1320
907	12889	1305
908	12900	1291
909	12912	1277
910	12924	1262
911	12935	1248
912	12949	1233
913	12963	1219
914	12975	1205
915	12988	1191
916	13000	1176
917	13013	1162
918	13025	1148
919	13037	1133
920	13052	1119
921	13064	1105
922	13077	1090
923	13089	1076
924	13102	1062
925	13114	1048
926	13127	1033
927	13140	1019
928	13153	1005
929	13166	990
930	13180	976
931	13195	962
932	13207	948
933	13220	934
934	13232	919
935	13246	905
936	13259	891
937	13271	877
938	13284	862
939	13296	848
940	13307	834
941	13320	820
942	13333	805
943	13347	791
944	13360	777
945	13373	763
946	13386	749
947	13398	734
948	13411	720
949	13424	706
950	13436	692
951	13447	678
952	13458	663
953	13471	649
954	13484	635
955	13496	621
956	13510	607
957	13524	592
958	13538	578
959	13551	564
960	13564	550
961	13576	536
962	13589	522
963	13602	507
964	13615	493
965	13628	479
966	13641	465
967	13654	451
968	13667	437
969	13680	423
970	13692	408
971	13705	394
972	13719	380
973	13732	366
974	13744	352
975	13757	338
976	13771	324
977	13784	310
978	13796	295
979	13810	281
980	13822	267
981	13834	253
982	13847	239
983	13860	225
984	13874	211
985	13887	197
986	13899	183
987	13912	168
988	13923	154
989	13935	140
990	13946	126
991	13958	112
992	13969	98
993	13982	84
994	13995	70
995	14008	56
996	14022	42
997	14041	28
998	14054	14
999	14067	0
