id,url,header,address,area,rooms,bathrooms,garages,amenities,price,condo,crawled_at
1.35,https://www.vivareal.com.br/imovel/flat-1-quartos-reboucas-bairros-curitiba-18m2-aluguel-RS1350-id-2482313431/,"Flat com Quarto para Aluguel, 18m²","Rua Doutor Reynaldo Machado, 1340 - Rebouças, Curitiba - PR",18,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.350 /mês,,2021-06-17 11:51
1.36,,WORKSPACE BRIGADEIRO,"Rua Emiliano Perneta, 822 - Centro, Curitiba - PR",38-404,-- Quarto,1 Banheiro,-- Vaga,,R$ 368.092,,2021-06-17 11:51
1.37,,Manhattan Tower,"Rua André de Barros, 419 - Centro, Curitiba - PR",19-34,1 Quarto,1 Banheiro,-- Vaga,,R$ 159.900,,2021-06-17 11:51
1.38,,Brickell One,"Avenida Silva Jardim, 893 - Rebouças, Curitiba - PR",18-19,1 Quarto,1 Banheiro,-- Vaga,,R$ 194.365,,2021-06-17 11:51
1.39,,,,,,,,,,,2021-06-17 11:51
1.40,,,,,,,,,,,2021-06-17 11:51
1.41,,,,,,,,,,,2021-06-17 11:51
1.42,,,,,,,,,,,2021-06-17 11:51
1.43,,,,,,,,,,,2021-06-17 11:51
1.44,,"Apartamento com Quarto para Aluguel, 25m²","Alameda Júlia da Costa, 911 - Bigorrilho, Curitiba - PR",25,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.500 /mês,R$ 250,2021-06-17 11:51
1.45,,"Apartamento com Quarto para Aluguel, 28m²","Rua Nunes Machado, 79 - Centro, Curitiba - PR",28,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.000 /mês,R$ 349,2021-06-17 11:51
1.46,,"Apartamento com Quarto para Aluguel, 34m²","Rua Emiliano Perneta, 500 - Centro, Curitiba - PR",34,1 Quarto,1 Banheiro,-- Vaga,,R$ 1.250 /mês,R$ 300,2021-06-17 11:51
1.47,,,,,,,,,,,2021-06-17 11:51
1.48,,,,,,,,,,,2021-06-17 11:51
1.49,,,,,,,,,,,2021-06-17 11:51
1.50,,,,,,,,,,,2021-06-17 11:51
1.51,,,,,,,,,,,2021-06-17 11:51
2.0,https://www.vivareal.com.br/imovel/9-quartos-hugo-lange-bairros-curitiba-com-garagem-142m2-aluguel-RS2950-id-2488018884/,"Casa com 9 Quartos para Aluguel, 142m²","Rua Presidente Rodrigo Otávio, 1070 - Hugo Lange, Curitiba - PR",142,9 Quartos,3 Banheiros,2 Vagas,Mobiliado|Ar-condicionado|Aceita animais,R$ 2.950 /mês,,2021-06-17 11:51
2.1,https://www.vivareal.com.br/imovel/apartamento-1-quartos-centro-bairros-curitiba-33m2-aluguel-RS2500-id-2520533693/,"Apartamento com Quarto para Aluguel, 33m²","Avenida Visconde de Guarapuava, 3806 - Centro, Curitiba - PR",33,1 Quarto,1 Banheiro,-- Vaga,Mobiliado|Piscina|Churrasqueira|Academia|Elevador,R$ 2.500 /mês,R$ 320,2021-06-17 11:51
2.2,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-40m2-aluguel-RS800-id-2519569698/,"Sala/Conjunto para Aluguel, 40m²","Rua Voluntários da Pátria, 400 - Centro, Curitiba - PR",40,-- Quarto,6 Banheiros,-- Vaga,,R$ 800 /mês,,2021-06-17 11:51
2.3,https://www.vivareal.com.br/imovel/sala-comercial-centro-bairros-curitiba-com-garagem-218m2-aluguel-RS10500-id-2512561575/,"Sala/Conjunto para Aluguel, 218m²","Alameda Doutor Carlos de Carvalho, 555 - Centro, Curitiba - PR",218,-- Quarto,4 Banheiros,3 Vagas,,R$ 10.500 /mês,,2021-06-17 11:51
