iter	Passed	Remaining
792	16202	4229
793	16215	4207
794	16228	4184
795	16242	4162
796	16260	4141
797	16289	4123
798	16303	4101
799	16324	4081
800	16339	4059
801	16354	4037
802	16367	4015
803	16380	3993
804	16394	3971
805	16408	3949
806	16420	3927
807	16433	3904
808	16445	3882
809	16458	3860
810	16471	3838
811	16484	3816
812	16498	3794
813	16511	3772
814	16524	3751
815	16537	3729
816	16552	3707
817	16566	3685
818	16578	3663
819	16592	3642
820	16606	3620
821	16620	3599
822	16633	3577
823	16648	3555
824	16657	3533
825	16673	3512
826	16687	3490
827	16701	3469
828	16714	3447
829	16728	3426
830	16742	3404
831	16756	3383
832	16769	3362
833	16782	3340
834	16795	3318
835	16809	3297
836	16822	3276
837	16835	3254
838	16848	3233
839	16861	3211
840	16879	3191
841	16892	3169
842	16906	3148
843	16919	3127
844	16932	3105
845	16945	3084
846	16958	3063
847	16972	3042
848	16985	3020
849	16998	2999
850	17011	2978
851	17024	2957
852	17037	2936
853	17050	2915
854	17064	2893
855	17077	2872
856	17089	2851
857	17102	2830
858	17115	2809
859	17129	2788
860	17141	2767
861	17157	2746
862	17171	2726
863	17186	2705
864	17199	2684
865	17213	2663
866	17226	2642
867	17240	2621
868	17253	2600
869	17266	2580
870	17279	2559
871	17303	2540
872	17317	2519
873	17329	2498
874	17343	2477
875	17357	2456
876	17370	2436
877	17385	2415
878	17398	2395
879	17430	2376
880	17444	2356
881	17460	2336
882	17509	2320
883	17526	2299
884	17562	2282
885	17575	2261
886	17588	2240
887	17602	2220
888	17615	2199
889	17629	2178
890	17642	2158
891	17655	2137
892	17669	2117
893	17684	2096
894	17697	2076
895	17710	2055
896	17723	2035
897	17738	2014
898	17751	1994
899	17764	1973
900	17778	1953
901	17791	1932
902	17805	1912
903	17821	1892
904	17835	1872
905	17849	1851
906	17861	1831
907	17874	1811
908	17887	1790
909	17900	1770
910	17912	1749
911	17924	1729
912	17936	1709
913	17948	1688
914	17963	1668
915	17980	1648
916	18062	1634
917	18142	1620
918	18186	1602
919	18203	1582
920	18218	1562
921	18243	1543
922	18260	1523
923	18292	1504
924	18333	1486
925	18359	1467
926	18395	1448
927	18431	1430
928	18496	1413
929	18517	1393
930	18538	1373
931	18558	1354
932	18612	1336
933	18644	1317
934	18670	1297
935	18704	1278
936	18753	1260
937	18773	1240
938	18797	1221
939	18840	1202
940	18862	1182
941	18886	1162
942	18921	1143
943	18945	1123
944	19001	1105
945	19045	1087
946	19060	1066
947	19074	1046
948	19102	1026
949	19133	1007
950	19149	986
951	19169	966
952	19245	949
953	19260	928
954	19274	908
955	19291	887
956	19308	867
957	19333	847
958	19375	828
959	19399	808
960	19424	788
961	19471	769
962	19511	749
963	19556	730
964	19592	710
965	19655	691
966	19677	671
967	19697	651
968	19719	630
